,titre,marque,modele,annee,kilometrage,boite_vitesse,carburant,prix
3,MERCEDES CLA II,MERCEDES,2.0 200 D 150 AMG LINE,2021,64 855 km,Automatique,Diesel,40 220 €
4,MERCEDES GLA II,MERCEDES,1.3 250 218 AMG LINE,2022,81 194 km,Automatique,Hybrides,48 140 €
5,MERCEDES CLASSE B II phase 2,MERCEDES,1.6 180 122 STARLIGHT EDITION,2019,43 763 km,Automatique,Essence,24 500 €
6,MERCEDES CLASSE A IV AMG,MERCEDES,2.0 35 306 AMG,2020,26 250 km,Automatique,Essence,47 230 €
7,MERCEDES CLASSE B,MERCEDES,2.0 200 136 DESIGN,2007,88 000 km,Automatique,Essence,12 090 €
8,MERCEDES GLS,MERCEDES,350 D 4MATIC AMG LINE,2020,53 376 km,Automatique,Diesel,109 730 €
9,MERCEDES GLE COUPE II AMG,MERCEDES,3.0 435,2021,57 096 km,Automatique,Essence,143 310 €
10,MERCEDES CLASSE A IV,MERCEDES,2.0 200 D 150 PROGRESSIVE LINE,2021,22 388 km,Automatique,Diesel,34 780 €
11,MERCEDES CLASSE A III phase 2,MERCEDES,2.1 200 D 136 FASCINATION,2017,88 160 km,Automatique,Diesel,26 670 €
12,MERCEDES CLASSE C III SW phase 2,MERCEDES,2.1 180 CDI 120 AVANTGARDE,2013,145 200 km,Manuelle,Diesel,16 390 €
13,MERCEDES CLASSE A IV,MERCEDES,1.5 180 D 116 PROGRESSIVE LINE,2020,107 958 km,Automatique,Diesel,29 360 €
14,MERCEDES CLA II AMG,MERCEDES,2.0 35 306 AMG,2020,58 860 km,Automatique,Essence,56 040 €
15,MERCEDES CLASSE A IV,MERCEDES,1.3 250 218 AMG LINE,2021,32 657 km,Automatique,Hybrides,41 680 €
16,MERCEDES CLASSE E V COUPE,MERCEDES,2.0 300 245 SPORTLINE,2018,143 499 km,Automatique,Essence,41 230 €
0,MERCEDES CLA II,MERCEDES,1.3 200 163 AMG LINE,2023,24 168 km,Automatique,Essence,38 670 €
1,MERCEDES CLASSE A IV,MERCEDES,1.3 250 218 PROGRESSIVE LINE,2021,50 600 km,Automatique,Hybrides,32 760 €
2,MERCEDES CLA II SHOOTING BRAKE,MERCEDES,1.3 200 163 AMG LINE,2021,64 660 km,Automatique,Essence,42 560 €
3,MERCEDES CLASSE C V SW,MERCEDES,2.0 300 300 AMG LINE,2023,55 345 km,Automatique,Hybrides,55 480 €
4,MERCEDES CLASSE A III,MERCEDES,1.5 180 CDI 109 BUSINESS EXECUTIVE,2016,69 934 km,Automatique,Diesel,21 640 €
5,MERCEDES CLASSE C IV SW,MERCEDES,2.1 200 D 136,2018,87 863 km,Automatique,Diesel,25 900 €
6,MERCEDES CLASSE A IV,MERCEDES,1.3 180 136 PROGRESSIVE LINE,2021,32 240 km,Manuelle,Essence,30 350 €
7,MERCEDES CLASSE E IV COUPE,MERCEDES,3.5 350 292 EXECUTIVE,2011,182 040 km,Automatique,Essence,22 740 €
8,MERCEDES CLASSE GLK phase 2,MERCEDES,2.1 220 170 SPORT,2013,141 918 km,Automatique,Diesel,21 780 €
9,MERCEDES CLASSE S VII CABRIOLET AMG,MERCEDES,5.5 63 585 AMG,2018,107 558 km,Automatique,Essence,169 380 €
10,MERCEDES CLASSE C IV SW AMG,MERCEDES,4.0 63 510 AMG S,2018,68 607 km,Automatique,Essence,72 580 €
11,MERCEDES GLC COUPE phase 2,MERCEDES,2.0 300 320 AMG LINE,2021,24 167 km,Automatique,Hybrides,77 230 €
12,MERCEDES CLASSE B II phase 2,MERCEDES,1.5 180 CDI 109 INSPIRATION,2016,144 829 km,Manuelle,Diesel,15 730 €
13,MERCEDES CLASSE E V BREAK,MERCEDES,2.0 300 316 AVANTGARDE LINE,2020,56 047 km,Automatique,,41 740 €
14,MERCEDES CLASSE G IV AMG,MERCEDES,4.0 63 585 AMG,2020,57 838 km,Automatique,Essence,229 880 €
15,MERCEDES MARCO POLO,MERCEDES,300 D 239CH MARCO POLO 4MATIC 9G-TRONIC,2022,55 278 km,Automatique,Diesel,95 460 €
