,titre,marque,modele,annee,kilometrage,boite_vitesse,carburant,prix
3,HYUNDAI TUCSON IV,HYUNDAI,1.6 T-GDI 230 CREATIVE,2022,9 793 km,Automatique,Hybrides,37 430 €
4,HYUNDAI KONA phase 2,HYUNDAI,136ch 39kWh CREATIVE,2022,28 921 km,Automatique,Électrique,29 880 €
5,HYUNDAI SANTA FE III,HYUNDAI,2.2 CRDI 197 INTUITIVE,2016,145 154 km,Manuelle,Diesel,22 020 €
6,HYUNDAI TUCSON IV,HYUNDAI,1.6 T-GDI 265 EXECUTIVE,2022,33 672 km,Automatique,Hybrides,38 480 €
7,HYUNDAI KONA phase 2,HYUNDAI,1.6 HYBRID 141 EXECUTIVE,2023,23 376 km,Automatique,Hybrides,27 000 €
8,HYUNDAI KONA,HYUNDAI,1.6 GDI 141 EDITION #1,2020,69 329 km,Automatique,Hybrides,21 820 €
9,HYUNDAI TUCSON III,HYUNDAI,1.7 CRDI 115 EXECUTIVE,2019,94 943 km,Manuelle,Diesel,25 400 €
10,HYUNDAI TUCSON IV,HYUNDAI,1.6 T-GDI 265 EXECUTIVE,2022,31 673 km,Automatique,Hybrides,41 030 €
11,HYUNDAI BAYON,HYUNDAI,1.0 T-GDI 100 CREATIVE,2022,39 657 km,Manuelle,Essence,20 680 €
12,HYUNDAI I20 II phase 2,HYUNDAI,1.0 T-GDI 100 INITIA,2021,48 828 km,Manuelle,Essence,16 950 €
13,HYUNDAI TUCSON IV,HYUNDAI,1.6 T-GDI 230 CREATIVE,2024,3 873 km,Automatique,Hybrides,40 930 €
14,HYUNDAI IONIQ,HYUNDAI,1.6 HYBRID 141 EXECUTIVE,2019,96 170 km,Automatique,Hybrides,21 180 €
15,HYUNDAI KONA,HYUNDAI,1.0 T-GDI 120 CREATIVE,2020,67 048 km,Manuelle,Essence,16 650 €
16,HYUNDAI KONA,HYUNDAI,1.6 GDI 141 EXECUTIVE,2021,44 427 km,Automatique,Hybrides,24 500 €
0,HYUNDAI TUCSON III phase 2,HYUNDAI,1.6 CRDI 136 N LINE,2020,63 388 km,Automatique,Diesel,27 010 €
1,HYUNDAI TUCSON III phase 2,HYUNDAI,1.6 CRDI 136 CREATIVE,2020,86 480 km,Automatique,Diesel,24 960 €
2,HYUNDAI TUCSON IV,HYUNDAI,1.6 CRDI 136 CREATIVE,2023,22 149 km,Automatique,Diesel,40 350 €
3,HYUNDAI KONA,HYUNDAI,204ch 64kWh CREATIVE,2021,81 991 km,Automatique,Électrique,34 260 €
4,HYUNDAI KONA,HYUNDAI,136ch 39.2kWh CREATIVE,2021,60 675 km,Automatique,Électrique,20 940 €
5,HYUNDAI IONIQ phase 2,HYUNDAI,136ch 39kWh CREATIVE,2020,34 125 km,Automatique,Électrique,22 990 €
6,HYUNDAI KONA,HYUNDAI,1.6 GDI 141 EXECUTIVE,2021,25 144 km,Automatique,Hybrides,28 780 €
7,HYUNDAI I20 III,HYUNDAI,1.2 84 INITIA,2023,46 499 km,Manuelle,Essence,16 930 €
8,HYUNDAI KONA phase 2,HYUNDAI,1.6 HYBRID 141 EXECUTIVE,2023,17 465 km,Automatique,Hybrides,31 480 €
9,HYUNDAI I30 III N,HYUNDAI,2.0 T-GDI 275 PERFORMANCE PACK,2019,87 200 km,Manuelle,Essence,28 320 €
10,HYUNDAI I20 II phase 2,HYUNDAI,1.0 T-GDI 100 INTUITIVE,2020,59 099 km,Manuelle,Essence,15 830 €
11,HYUNDAI KONA phase 2,HYUNDAI,204ch 64kWh EXECUTIVE,2022,71 565 km,Automatique,Électrique,31 520 €
12,HYUNDAI KONA,HYUNDAI,136ch 39.2kWh INTUITIVE,2021,32 390 km,Automatique,Électrique,23 560 €
13,HYUNDAI KONA phase 2,HYUNDAI,136ch 39kWh INTUITIVE,2022,35 066 km,Automatique,Électrique,30 490 €
14,HYUNDAI KONA,HYUNDAI,1.6 GDI 141 INTUITIVE,2021,31 493 km,Automatique,Hybrides,30 230 €
15,HYUNDAI KONA phase 2,HYUNDAI,204ch 64kWh CREATIVE,2023,35 108 km,Automatique,Électrique,37 070 €
16,HYUNDAI I20 II,HYUNDAI,1.2 84 EDITION 1,2016,111 360 km,Manuelle,Essence,10 420 €
0,HYUNDAI KONA,HYUNDAI,204ch 64kWh EXECUTIVE,2021,75 302 km,Automatique,Électrique,32 710 €
1,HYUNDAI TUCSON IV,HYUNDAI,1.6 CRDI 136 CREATIVE,2023,21 980 km,Automatique,Diesel,37 680 €
2,HYUNDAI IONIQ 6,HYUNDAI,229ch 92kWh INTUITIVE,2024,4 235 km,Automatique,Électrique,47 660 €
3,HYUNDAI IONIQ 6,HYUNDAI,229ch 82kWh EXECUTIVE,2024,4 950 km,Automatique,Électrique,59 050 €
4,HYUNDAI IONIQ 6,HYUNDAI,229ch 92kWh CREATIVE,2024,117 km,Automatique,Électrique,54 040 €
5,HYUNDAI KONA,HYUNDAI,1.6 GDI 141 CREATIVE,2021,26 643 km,Automatique,Hybrides,23 520 €
6,HYUNDAI KONA,HYUNDAI,136ch 39.2kWh CREATIVE,2021,26 289 km,Automatique,Électrique,27 250 €
7,HYUNDAI TUCSON IV,HYUNDAI,1.6 T-GDI 265 EXECUTIVE,2022,42 315 km,Automatique,Hybrides,36 640 €
8,HYUNDAI KONA phase 2,HYUNDAI,204ch 64kWh INTUITIVE,2023,43 847 km,Automatique,Électrique,33 750 €
9,HYUNDAI KONA,HYUNDAI,1.6 GDI 141 CREATIVE,2022,28 026 km,Automatique,Hybrides,25 860 €
10,HYUNDAI KONA,HYUNDAI,1.6 GDI 141 EXECUTIVE,2022,25 355 km,Automatique,Hybrides,32 480 €
11,HYUNDAI KONA phase 2,HYUNDAI,204ch 64kWh INTUITIVE,2023,16 532 km,Automatique,Électrique,38 060 €
12,HYUNDAI I20 II,HYUNDAI,1.0 T-GDI 120 CREATIVE,2020,91 320 km,Manuelle,Essence,15 580 €
13,HYUNDAI TUCSON IV,HYUNDAI,1.6 T-GDI 230 N LINE EDITION,2024,97 km,Automatique,Hybrides,42 010 €
14,HYUNDAI TUCSON III phase 2,HYUNDAI,1.6 CRDI 115 CREATIVE,2021,100 051 km,Manuelle,Diesel,22 080 €
15,HYUNDAI TUCSON III phase 2,HYUNDAI,1.6 CRDI 136 CREATIVE,2021,104 292 km,Automatique,Diesel,28 470 €
16,HYUNDAI TUCSON III phase 2,HYUNDAI,1.6 CRDI 136 CREATIVE,2020,102 350 km,Automatique,Diesel,22 980 €
0,HYUNDAI KONA,HYUNDAI,1.0 T-GDI 120 CREATIVE,2020,70 448 km,Manuelle,Essence,20 210 €
1,HYUNDAI I20 II,HYUNDAI,1.2 84 INTUITIVE PLUS,2016,98 337 km,Manuelle,Essence,11 280 €
2,HYUNDAI TUCSON IV,HYUNDAI,1.6 CRDI 136 N LINE EXECUTIVE,2024,9 671 km,Automatique,Diesel,51 530 €
3,HYUNDAI IONIQ phase 2,HYUNDAI,1.6 PLUG-IN 141 INTUITIVE,2023,23 303 km,Automatique,Hybrides,32 190 €
4,HYUNDAI IONIQ 6,HYUNDAI,229ch 82kWh EXECUTIVE,2024,4 210 km,Automatique,Électrique,60 060 €
5,HYUNDAI KONA,HYUNDAI,1.0 T-GDI 120 CREATIVE,2020,79 739 km,Manuelle,Essence,18 890 €
6,HYUNDAI I30 (3E GENERATION) SW,HYUNDAI,SW 1.6 CRDI 115,2020,95 786 km,Manuelle,Diesel,20 380 €
7,HYUNDAI KONA phase 2,HYUNDAI,136ch 39kWh INTUITIVE,2022,44 836 km,Automatique,Électrique,30 720 €
8,HYUNDAI TUCSON IV,HYUNDAI,1.6 CRDI 136 CREATIVE,2023,31 703 km,Automatique,Diesel,34 860 €
9,HYUNDAI IONIQ,HYUNDAI,1.6 HYBRID 141 EXECUTIVE,2018,127 855 km,Automatique,Hybrides,20 860 €
10,HYUNDAI IONIQ,HYUNDAI,1.6 HYBRID 141 EXECUTIVE,2019,90 465 km,Automatique,Hybrides,19 920 €
11,HYUNDAI TUCSON IV,HYUNDAI,1.6 T-GDI 150 EXECUTIVE,2023,21 558 km,Automatique,Essence,40 310 €
12,HYUNDAI KONA phase 2,HYUNDAI,204ch 64kWh INTUITIVE,2023,12 415 km,Automatique,Électrique,42 140 €
13,HYUNDAI I30 III phase 2,HYUNDAI,1.0 T-GDI 120 CREATIVE,2021,61 732 km,Manuelle,Essence,23 380 €
14,HYUNDAI KONA phase 2,HYUNDAI,136ch 39kWh INTUITIVE,2022,42 651 km,Automatique,Électrique,26 980 €
15,HYUNDAI TUCSON III,HYUNDAI,2.0 CRDI 136 EXECUTIVE,2017,133 280 km,Manuelle,Diesel,19 020 €
16,HYUNDAI I20 II phase 2,HYUNDAI,1.0 T-GDI 100 INTUITIVE,2020,52 915 km,Manuelle,Essence,16 720 €
0,INFINITI Q50 phase 2,INFINITI,2.2 170,2017,301 106 km,Automatique,Diesel,11 890 €
1,INFINITI QX70,INFINITI,3.7 320 S PREMIUM,2018,71 390 km,Automatique,Essence,41 120 €
2,INFINITI Q30,INFINITI,2.2 170 LUXE TECH,2019,62 000 km,Automatique,Diesel,29 630 €
3,INFINITI FX,INFINITI,3.0 30D 238 GT PREMIUM,2013,218 107 km,Automatique,Diesel,15 660 €
4,INFINITI QX30,INFINITI,2.2 170 EXECUTIVE,2018,108 969 km,Automatique,Diesel,20 380 €
5,INFINITI Q70 phase 2,INFINITI,3.5 364 PREMIUM TECH,2016,92 253 km,Automatique,Hybrides,27 100 €
6,INFINITI QX30,INFINITI,2.2 170 EXECUTIVE,2017,116 400 km,Automatique,Diesel,21 580 €
7,INFINITI Q50,INFINITI,3.5 V6 364 S,2015,159 000 km,Automatique,Hybrides,25 180 €
8,INFINITI Q30,INFINITI,2.0 211 211 SPORT,2018,58 804 km,Automatique,Essence,32 330 €
9,INFINITI FX,INFINITI,3.0 30D 238 S PREMIUM,2011,186 942 km,Automatique,Diesel,20 210 €
10,INFINITI Q30,INFINITI,1.6 156 SPORT,2017,81 162 km,Automatique,Essence,22 660 €
11,INFINITI Q30,INFINITI,1.5 109 BUSINESS,2019,97 867 km,Automatique,Diesel,19 340 €
12,INFINITI Q30,INFINITI,2.2 170 PREMIUM TECH,2019,97 206 km,Automatique,Diesel,23 380 €
13,INFINITI Q30,INFINITI,1.5 109 BUSINESS,2017,82 950 km,Automatique,Diesel,16 780 €
14,INFINITI FX,INFINITI,3.0 30D 238 S PREMIUM,2012,125 191 km,Automatique,Diesel,21 240 €
15,INFINITI Q30,INFINITI,2.2 170 PREMIUM TECH,2018,33 613 km,Automatique,Diesel,27 370 €
16,INFINITI Q30,INFINITI,2.2 170 SPORT TECH,2019,36 040 km,Automatique,Diesel,20 350 €
0,INFINITI Q50 phase 2,INFINITI,2.2 170,2017,301 106 km,Automatique,Diesel,11 890 €
1,INFINITI QX70,INFINITI,3.7 320 S PREMIUM,2018,71 390 km,Automatique,Essence,41 120 €
2,INFINITI Q30,INFINITI,2.2 170 LUXE TECH,2019,62 000 km,Automatique,Diesel,29 630 €
3,INFINITI FX,INFINITI,3.0 30D 238 GT PREMIUM,2013,218 107 km,Automatique,Diesel,15 660 €
4,INFINITI QX30,INFINITI,2.2 170 EXECUTIVE,2018,108 969 km,Automatique,Diesel,20 380 €
5,INFINITI Q70 phase 2,INFINITI,3.5 364 PREMIUM TECH,2016,92 253 km,Automatique,Hybrides,27 100 €
6,INFINITI QX30,INFINITI,2.2 170 EXECUTIVE,2017,116 400 km,Automatique,Diesel,21 580 €
7,INFINITI Q50,INFINITI,3.5 V6 364 S,2015,159 000 km,Automatique,Hybrides,25 180 €
8,INFINITI Q30,INFINITI,2.0 211 211 SPORT,2018,58 804 km,Automatique,Essence,32 330 €
9,INFINITI FX,INFINITI,3.0 30D 238 S PREMIUM,2011,186 942 km,Automatique,Diesel,20 210 €
10,INFINITI Q30,INFINITI,1.6 156 SPORT,2017,81 162 km,Automatique,Essence,22 660 €
11,INFINITI Q30,INFINITI,1.5 109 BUSINESS,2019,97 867 km,Automatique,Diesel,19 340 €
12,INFINITI Q30,INFINITI,2.2 170 PREMIUM TECH,2019,97 206 km,Automatique,Diesel,23 380 €
13,INFINITI Q30,INFINITI,1.5 109 BUSINESS,2017,82 950 km,Automatique,Diesel,16 780 €
14,INFINITI FX,INFINITI,3.0 30D 238 S PREMIUM,2012,125 191 km,Automatique,Diesel,21 240 €
15,INFINITI Q30,INFINITI,2.2 170 PREMIUM TECH,2018,33 613 km,Automatique,Diesel,27 370 €
16,INFINITI Q30,INFINITI,2.2 170 SPORT TECH,2019,36 040 km,Automatique,Diesel,20 350 €
0,INFINITI Q50 phase 2,INFINITI,2.2 170,2017,301 106 km,Automatique,Diesel,11 890 €
1,INFINITI QX70,INFINITI,3.7 320 S PREMIUM,2018,71 390 km,Automatique,Essence,41 120 €
2,INFINITI Q30,INFINITI,2.2 170 LUXE TECH,2019,62 000 km,Automatique,Diesel,29 630 €
3,INFINITI FX,INFINITI,3.0 30D 238 GT PREMIUM,2013,218 107 km,Automatique,Diesel,15 660 €
4,INFINITI QX30,INFINITI,2.2 170 EXECUTIVE,2018,108 969 km,Automatique,Diesel,20 380 €
5,INFINITI Q70 phase 2,INFINITI,3.5 364 PREMIUM TECH,2016,92 253 km,Automatique,Hybrides,27 100 €
6,INFINITI QX30,INFINITI,2.2 170 EXECUTIVE,2017,116 400 km,Automatique,Diesel,21 580 €
7,INFINITI Q50,INFINITI,3.5 V6 364 S,2015,159 000 km,Automatique,Hybrides,25 180 €
8,INFINITI Q30,INFINITI,2.0 211 211 SPORT,2018,58 804 km,Automatique,Essence,32 330 €
9,INFINITI FX,INFINITI,3.0 30D 238 S PREMIUM,2011,186 942 km,Automatique,Diesel,20 210 €
10,INFINITI Q30,INFINITI,1.6 156 SPORT,2017,81 162 km,Automatique,Essence,22 660 €
11,INFINITI Q30,INFINITI,1.5 109 BUSINESS,2019,97 867 km,Automatique,Diesel,19 340 €
12,INFINITI Q30,INFINITI,2.2 170 PREMIUM TECH,2019,97 206 km,Automatique,Diesel,23 380 €
13,INFINITI Q30,INFINITI,1.5 109 BUSINESS,2017,82 950 km,Automatique,Diesel,16 780 €
14,INFINITI FX,INFINITI,3.0 30D 238 S PREMIUM,2012,125 191 km,Automatique,Diesel,21 240 €
15,INFINITI Q30,INFINITI,2.2 170 PREMIUM TECH,2018,33 613 km,Automatique,Diesel,27 370 €
16,INFINITI Q30,INFINITI,2.2 170 SPORT TECH,2019,36 040 km,Automatique,Diesel,20 350 €
0,INFINITI QX30,INFINITI,2.2 170 EXECUTIVE,2017,116 400 km,Automatique,Diesel,21 580 €
1,INFINITI Q60 II COUPE,INFINITI,2.0 211 PREMIUM TECH,2017,139 100 km,Automatique,Essence,20 330 €
2,INFINITI Q50,INFINITI,2.2 170 SPORT,2015,144 425 km,Manuelle,Diesel,14 150 €
3,INFINITI FX phase 2,INFINITI,3.0 30D 238 S PREMIUM,2012,140 740 km,Automatique,Diesel,22 320 €
4,INFINITI Q50,INFINITI,2.2 170 PREMIUM,2019,344 720 km,Automatique,Diesel,11 160 €
5,INFINITI EX,INFINITI,3.0 30D 238 GT PREMIUM,2012,162 402 km,Automatique,Diesel,18 750 €
6,INFINITI Q30,INFINITI,1.5 109 PREMIUM,2018,134 280 km,Manuelle,Diesel,15 100 €
7,INFINITI QX70,INFINITI,3.0 238 S PREMIUM,2015,181 481 km,Automatique,Diesel,18 360 €
8,INFINITI Q50,INFINITI,2.2 170,2016,166 693 km,Manuelle,Diesel,17 210 €
9,INFINITI Q30,INFINITI,2.2 170 SPORT CITY BLACK,2018,120 510 km,Automatique,Diesel,22 210 €
10,INFINITI Q30,INFINITI,1.5 109 SPORT,2020,71 570 km,Manuelle,Diesel,20 280 €
11,INFINITI QX70,INFINITI,3.7 320 GT,2017,82 490 km,Automatique,Essence,33 880 €
12,INFINITI Q30,INFINITI,2.2 170 CITY BLACK EDITION,2017,124 755 km,Automatique,Diesel,18 570 €
13,INFINITI Q30,INFINITI,2.2 170 SPORT,2019,64 975 km,Automatique,Diesel,23 610 €
14,INFINITI G37 CABRIOLET,INFINITI,3.7 37 320 GT PREMIUM,2013,177 189 km,Automatique,Essence,14 730 €
15,INFINITI Q50,INFINITI,2.2 170 EXECUTIVE,2016,152 386 km,Automatique,Diesel,15 800 €
16,INFINITI Q70,INFINITI,2.2 170 PREMIUM TECH,2017,193 884 km,Automatique,Diesel,14 960 €
0,INFINITI Q30,INFINITI,1.5 109 SPORT,2020,71 570 km,Manuelle,Diesel,20 280 €
1,INFINITI QX70,INFINITI,3.7 320 S,2017,108 810 km,Automatique,Essence,35 080 €
2,INFINITI Q30,INFINITI,2.2 170 SPORT,2018,122 002 km,Automatique,Diesel,22 210 €
3,INFINITI Q60 II COUPE,INFINITI,3.0 405 SPORT TECH,2018,92 208 km,Automatique,Essence,42 920 €
4,INFINITI Q30,INFINITI,1.6 156 SPORT TECH,2020,24 348 km,Automatique,Essence,26 670 €
5,INFINITI Q30,INFINITI,2.2 170 SPORT CITY BLACK,2017,149 984 km,Automatique,Diesel,20 720 €
6,INFINITI QX56,INFINITI,56 315,2014,123 500 km,Automatique,Essence,71 250 €
7,INFINITI Q70,INFINITI,2.2 170 SPORT,2018,86 098 km,Automatique,Diesel,23 650 €
8,INFINITI Q30,INFINITI,1.5 109 BUSINESS,2017,72 192 km,Automatique,Diesel,29 980 €
9,INFINITI Q50 phase 2,INFINITI,2.2 170,2017,301 106 km,Automatique,Diesel,11 890 €
10,INFINITI Q50,INFINITI,2.2 170 PREMIUM EXECUTIVE,2018,110 616 km,Automatique,Diesel,19 410 €
11,INFINITI Q50,INFINITI,2.2 170 PREMIUM,2017,255 189 km,Automatique,Diesel,12 080 €
12,INFINITI G37 COUPE,INFINITI,3.7 37 320 GT PREMIUM,2011,98 859 km,Automatique,Essence,21 490 €
13,INFINITI Q30,INFINITI,2.0 211 211 SPORT CITY BLACK,2017,60 320 km,Automatique,Essence,27 240 €
14,INFINITI Q30,INFINITI,2.2 170 PREMIUM TECH,2019,121 540 km,Automatique,Diesel,23 010 €
15,INFINITI Q30,INFINITI,2.0 211 211 SPORT TECH,2020,42 000 km,Automatique,Essence,36 960 €
16,INFINITI FX,INFINITI,3.0 30D 238 S PREMIUM,2013,145 535 km,Automatique,Diesel,20 460 €
0,INFINITI Q70 phase 2,INFINITI,3.5 364 PREMIUM TECH,2016,92 253 km,Automatique,Hybrides,27 100 €
1,INFINITI Q50,INFINITI,2.2 170 PREMIUM EXECUTIVE,2019,82 600 km,Automatique,Diesel,23 600 €
2,INFINITI Q50,INFINITI,2.2 170,2017,143 507 km,Automatique,Diesel,13 540 €
3,INFINITI QX50,INFINITI,3.0 238 GT,2015,138 600 km,Automatique,Diesel,16 500 €
4,INFINITI Q30,INFINITI,1.5 109 PREMIUM,2017,114 330 km,Automatique,Diesel,15 520 €
5,INFINITI Q30,INFINITI,2.0 211 211 SPORT CITY BLACK,2017,50 880 km,Automatique,Essence,26 500 €
6,INFINITI M30,INFINITI,3.0 30D 238 GT PREMIUM,2015,143 640 km,Automatique,Diesel,18 340 €
7,INFINITI QX30,INFINITI,2.2 170 PREMIUM TECH,2019,114 075 km,Automatique,Diesel,23 380 €
8,INFINITI Q30,INFINITI,2.2 170 SPORT,2017,93 220 km,Automatique,Diesel,21 830 €
9,INFINITI Q60 II COUPE,INFINITI,3.0 405 SPORT TECH,2018,68 489 km,Automatique,Essence,37 100 €
10,INFINITI G37 CABRIOLET,INFINITI,3.7 37 320 GT PREMIUM,2014,72 150 km,Automatique,Essence,28 840 €
11,INFINITI FX,INFINITI,3.0 30D 238 S PREMIUM,2013,169 560 km,Automatique,Diesel,21 360 €
12,INFINITI QX30,INFINITI,2.2 170 PREMIUM TECH,2019,44 016 km,Automatique,Diesel,25 310 €
13,INFINITI QX70,INFINITI,5.0 390 S PREMIUM,2015,182 093 km,Automatique,Essence,27 810 €
14,INFINITI Q50,INFINITI,2.2 170 PREMIUM,2015,185 260 km,Automatique,Diesel,14 140 €
15,INFINITI Q30,INFINITI,2.2 170 SPORT,2018,98 440 km,Automatique,Diesel,20 860 €
16,INFINITI QX50,INFINITI,3.0 238 GT,2016,145 229 km,Automatique,Diesel,22 180 €
0,INFINITI Q50 phase 2,INFINITI,2.2 170,2017,301 106 km,Automatique,Diesel,11 890 €
1,INFINITI Q30,INFINITI,1.5 109 PREMIUM CITY BLACK,2018,187 478 km,Manuelle,Diesel,12 630 €
2,INFINITI Q30,INFINITI,1.5 109 BUSINESS,2019,33 210 km,Manuelle,Diesel,21 890 €
3,INFINITI Q30,INFINITI,1.5 109 PREMIUM,2018,121 895 km,Manuelle,Diesel,15 260 €
4,INFINITI Q30,INFINITI,1.5 109 PREMIUM TECH,2017,99 750 km,Manuelle,Diesel,14 160 €
5,INFINITI Q30,INFINITI,2.2 170 PREMIUM,2019,146 900 km,Automatique,Diesel,19 210 €
6,INFINITI Q50,INFINITI,2.2 170,2016,74 391 km,Automatique,Diesel,18 790 €
7,INFINITI Q50,INFINITI,3.5 V6 364 S SPORT TECH,2016,145 000 km,Automatique,Hybrides,27 490 €
8,INFINITI FX phase 2,INFINITI,3.7 37 320 S PREMIUM,2013,94 375 km,Automatique,Essence,28 750 €
9,INFINITI Q30,INFINITI,1.5 109 PREMIUM,2019,129 600 km,Automatique,Diesel,17 880 €
10,INFINITI Q30,INFINITI,2.2 170 PREMIUM,2018,172 220 km,Automatique,Diesel,13 620 €
11,INFINITI Q50,INFINITI,3.5 V6 364 PREMIUM EXECUTIVE,2017,140 000 km,Automatique,Hybrides,23 520 €
12,INFINITI QX50,INFINITI,3.0 238 GT,2015,84 240 km,Automatique,Diesel,21 380 €
13,INFINITI FX,INFINITI,3.0 30D 238 S PREMIUM,2013,218 300 km,Automatique,Diesel,18 290 €
14,INFINITI FX phase 2,INFINITI,3.0 30D 238 S PREMIUM,2012,147 500 km,Automatique,Diesel,21 220 €
15,INFINITI Q30,INFINITI,1.5 109 PREMIUM,2020,37 146 km,Manuelle,Diesel,22 750 €
16,INFINITI Q60 II COUPE,INFINITI,3.0 405 SPORT,2018,93 170 km,Automatique,Essence,42 950 €
0,INFINITI QX30,INFINITI,2.2 170 EXECUTIVE,2017,116 400 km,Automatique,Diesel,21 580 €
1,INFINITI Q30,INFINITI,1.5 109 BUSINESS,2017,132 000 km,Automatique,Diesel,17 160 €
2,INFINITI Q30,INFINITI,2.2 170 CITY BLACK EDITION,2018,200 105 km,Automatique,Diesel,21 510 €
3,INFINITI Q30,INFINITI,2.2 170 SPORT,2018,156 940 km,Automatique,Diesel,17 850 €
4,INFINITI QX70,INFINITI,3.0 238 S PREMIUM,2015,153 680 km,Automatique,Diesel,21 350 €
5,INFINITI Q30,INFINITI,2.2 170 SPORT,2019,109 864 km,Automatique,Diesel,27 140 €
6,INFINITI Q50 phase 2,INFINITI,2.2 170,2018,170 349 km,Automatique,Diesel,19 040 €
7,INFINITI Q30,INFINITI,1.6 156 PREMIUM TECH,2018,51 920 km,Automatique,Essence,24 780 €
8,INFINITI FX phase 2,INFINITI,3.0 30D 238 S PREMIUM,2013,168 492 km,Automatique,Diesel,19 950 €
9,INFINITI Q50,INFINITI,2.2 170 PREMIUM EXECUTIVE,2016,160 211 km,Automatique,Diesel,16 460 €
10,INFINITI FX,INFINITI,3.0 30D 238 S PREMIUM,2011,179 363 km,Automatique,Diesel,20 110 €
11,INFINITI QX70,INFINITI,3.7 320 S PREMIUM,2017,36 934 km,Automatique,Essence,35 860 €
12,INFINITI FX,INFINITI,3.0 30D 238 S PREMIUM,2013,108 850 km,Automatique,Diesel,24 380 €
13,INFINITI Q30,INFINITI,2.2 170 PREMIUM,2017,146 292 km,Automatique,Diesel,15 100 €
14,INFINITI Q50,INFINITI,3.5 HYBRID 364 S SPORT,2017,125 880 km,Automatique,Hybrides,25 280 €
15,INFINITI Q30,INFINITI,1.6 122 PREMIUM,2018,104 913 km,Manuelle,Essence,19 040 €
16,INFINITI Q60 II COUPE,INFINITI,2.0 211 SPORT TECH,2017,17 820 km,Automatique,Essence,35 180 €
0,INFINITI Q30,INFINITI,1.5 109 SPORT,2020,71 570 km,Manuelle,Diesel,20 280 €
1,INFINITI QX70,INFINITI,3.0 238 S PREMIUM,2016,57 200 km,Automatique,Diesel,27 480 €
2,INFINITI Q60 II COUPE,INFINITI,2.0 211 PREMIUM TECH,2020,15 525 km,Automatique,Essence,37 830 €
3,INFINITI Q50,INFINITI,3.5 HYBRID 364 S SPORT,2017,115 682 km,Automatique,Hybrides,26 480 €
0,JAGUAR F-TYPE COUPE phase 2,JAGUAR,2.0 300,2019,85 206 km,Automatique,Essence,51 590 €
1,JAGUAR XF II,JAGUAR,2.0 180 PRESTIGE,2019,91 085 km,Automatique,Diesel,32 730 €
2,JAGUAR F-PACE,JAGUAR,2.0 180 R-SPORT,2020,111 238 km,Automatique,Diesel,42 470 €
3,JAGUAR F-TYPE COUPE phase 2,JAGUAR,3.0 V6 340 R-DYNAMIC,2020,36 000 km,Automatique,Essence,73 780 €
4,JAGUAR F-PACE,JAGUAR,3.0 V6 300 R-SPORT,2020,49 560 km,Automatique,Diesel,54 770 €
5,JAGUAR I-PACE,JAGUAR,400ch 90kWh SE,2020,39 446 km,Automatique,Électrique,64 000 €
6,JAGUAR XKR II,JAGUAR,4.2 420,2008,94 245 km,Automatique,Essence,36 610 €
7,JAGUAR XE,JAGUAR,2.0 180 R-SPORT,2019,59 052 km,Automatique,Diesel,33 860 €
8,JAGUAR E-PACE,JAGUAR,2.0 P250 249 PREMIERE EDITION,2018,53 252 km,Automatique,Essence,40 580 €
9,JAGUAR E-PACE,JAGUAR,1.5 PHEV 309 R-DYNAMIC SE,2022,48 778 km,Automatique,Hybrides,54 350 €
10,JAGUAR F-PACE,JAGUAR,3.0 V6 300 R-SPORT,2017,158 055 km,Automatique,Diesel,34 420 €
11,JAGUAR XKR-S II phase 2,JAGUAR,5.0 V8 550 R-S,2014,48 510 km,Automatique,Essence,64 990 €
12,JAGUAR F-PACE,JAGUAR,5.0 V8 550 SVR,2020,41 785 km,Automatique,Essence,78 730 €
13,JAGUAR F-PACE,JAGUAR,2.0 180 R-SPORT,2019,100 595 km,Automatique,Diesel,30 690 €
14,JAGUAR F-PACE,JAGUAR,2.0 240 PRESTIGE,2019,116 510 km,Automatique,Diesel,38 720 €
15,JAGUAR F-PACE,JAGUAR,3.0 V6 300 PORTFOLIO,2018,165 880 km,Automatique,Diesel,32 360 €
16,JAGUAR XK CABRIOLET,JAGUAR,4.2 V8 416 PORTFOLIO,2009,42 375 km,Automatique,Essence,51 860 €
0,JAGUAR F-TYPE COUPE phase 2,JAGUAR,2.0 300,2019,85 206 km,Automatique,Essence,51 590 €
1,JAGUAR XF II,JAGUAR,2.0 180 PRESTIGE,2019,91 085 km,Automatique,Diesel,32 730 €
2,JAGUAR F-PACE,JAGUAR,2.0 180 R-SPORT,2020,111 238 km,Automatique,Diesel,42 470 €
3,JAGUAR F-TYPE COUPE phase 2,JAGUAR,3.0 V6 340 R-DYNAMIC,2020,36 000 km,Automatique,Essence,73 780 €
4,JAGUAR F-PACE,JAGUAR,3.0 V6 300 R-SPORT,2020,49 560 km,Automatique,Diesel,54 770 €
5,JAGUAR I-PACE,JAGUAR,400ch 90kWh SE,2020,39 446 km,Automatique,Électrique,64 000 €
6,JAGUAR XKR II,JAGUAR,4.2 420,2008,94 245 km,Automatique,Essence,36 610 €
7,JAGUAR XE,JAGUAR,2.0 180 R-SPORT,2019,59 052 km,Automatique,Diesel,33 860 €
8,JAGUAR E-PACE,JAGUAR,2.0 P250 249 PREMIERE EDITION,2018,53 252 km,Automatique,Essence,40 580 €
